2022-07-21T09:18:10.581+0800	INFO	Service/service.go:907	CalMultiConditionSearch	{"调用 Service": "CalMultiConditionSearch 处理请求"}
2022-07-21T09:18:10.596+0800	INFO	APIResponse/response.go:41	CalMultiConditionSearch success	{"调用 Service": "CalMultiConditionSearch success 处理请求", "处理返回值": {"data":[{"Id":"62ba9ddd7c3f0000420af676","MaterialCode":"1100243874111111","MaterialType":"铸件类","MaterialName":"输入法兰毛坯","Specifications":"BOD2-02-Y100-112-N2-M11111P","Craft":"湿砂手工造型(覆膜砂砂芯)","Texture":"HT200","Process":"粗车","PurchaseStatus":"毛坯+粗车","CalStage":"","CalNum":0,"CalTime":"","BpmTaskId":0,"CreateTime":"","Validate":"false"},{"Id":"62ba9ded7c3f0000420af677","MaterialCode":"1100243874111111","MaterialType":"铸件类","MaterialName":"输入法兰毛坯","Specifications":"BOD2-02-Y100-112-N2-M11111P","Craft":"湿砂手工造型(覆膜砂砂芯)","Texture":"HT200","Process":"粗车","PurchaseStatus":"毛坯+粗车","CalStage":"","CalNum":0,"CalTime":"","BpmTaskId":0,"CreateTime":"","Validate":"true"},{"Id":"62c8ee013f0fe71742b14463","MaterialCode":"1100243874","MaterialType":"铸件类","MaterialName":"输入法兰毛坯","Specifications":"BOD2-02-Y100-112-N2-MP","Craft":"湿砂手工造型(覆膜砂砂芯)","Texture":"HT200","Process":"粗车","PurchaseStatus":"毛坯+粗车","CalStage":"","CalNum":0,"CalTime":"","BpmTaskId":211,"CreateTime":"2022-03-12","Validate":"true"},{"Id":"62d7bda19e3896897d591c8f","MaterialCode":"1100177919","MaterialType":"","MaterialName":"减速机","Specifications":"ZLYJ200CH-18-23M1-BL","Craft":"消失模","Texture":"HT200","Process":"磨齿","PurchaseStatus":"毛坯","CalStage":"","CalNum":0,"CalTime":"","BpmTaskId":794702,"CreateTime":"2022-07-20T00:00:00","Validate":"true"}],"total":4}}
2022-07-21T09:18:21.900+0800	INFO	APIResponse/response.go:41	用户权限列表	{"调用 Service": "用户权限列表 处理请求", "处理返回值": {"weight":["/weight/process GET","/weight/acs POST","/weight/craft GET","/weight/texture GET","/weight/craft/* DELETE","/weight/craft POST","/weight/texture POST","/weight/* POST","/weight/craft/* PUT","/weight/process POST","/weight/process/* PUT","/weight/process/* DELETE","/weight/texture/* DELETE","/weight/texture/* PUT"]}}
2022-07-21T09:18:22.136+0800	INFO	Service/service.go:86	GetAllCraft	{"调用 Service": "GetAllCraft 处理请求"}
2022-07-21T09:18:22.136+0800	INFO	Service/service.go:431	GetAllTexture	{"调用 Service": "GetAllTexture 处理请求"}
2022-07-21T09:18:22.139+0800	INFO	middleware/loggerMidd.go:30	/weight/purchase_status	{"statusxixixixi": 403, "method": "GET", "path": "/weight/purchase_status", "query": "", "ip": "10.10.181.60", "user-agent": "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36", "errors": "", "cost": "1.833292ms"}
2022-07-21T09:18:22.139+0800	INFO	Service/service.go:258	GetAllProcess	{"调用 Service": "GetAllProcess 处理请求"}
2022-07-21T09:18:22.151+0800	INFO	APIResponse/response.go:41	GetAllCraft success	{"调用 Service": "GetAllCraft success 处理请求", "处理返回值": [{"Id":"62b12dea3b72b55e4deb49c4","Name":"V法"},{"Id":"62b162f5d2350d3e494281b6","Name":"覆膜砂"},{"Id":"62b279a86d38630a961e617a","Name":"湿砂机械造型"},{"Id":"62b3b94600406d191e8369ec","Name":"湿砂机械造型（覆膜砂砂芯）"},{"Id":"62b3b95b00406d191e8369ed","Name":"湿砂手工造型"},{"Id":"62b3b99b00406d191e8369ee","Name":"湿砂手工造型(覆膜砂砂芯)"},{"Id":"62b3bba66a1d4731c9677523","Name":"湿砂手工造型（树脂泥芯）"},{"Id":"62b3bbae6a1d4731c9677524","Name":"树脂砂"},{"Id":"62b3bd1d6a1d4731c9677527","Name":"消失模"},{"Id":"62c3edba250a544b2aad186d","Name":"无"}]}
2022-07-21T09:18:22.151+0800	INFO	APIResponse/response.go:41	GetAllTexture success	{"调用 Service": "GetAllTexture success 处理请求", "处理返回值": [{"Id":"62b40b167c3f000042001958","Name":"HT200"},{"Id":"62b40b167c3f000042001959","Name":"HT250"},{"Id":"62b40b167c3f00004200195a","Name":"HT400"},{"Id":"62b40b167c3f00004200195b","Name":"HT450"},{"Id":"62b40b167c3f00004200195c","Name":"HT500"},{"Id":"62b40b167c3f00004200195d","Name":"HT550"},{"Id":"62b40b167c3f00004200195e","Name":"QT400"},{"Id":"62b40b167c3f00004200195f","Name":"QT450"},{"Id":"62b40b167c3f000042001960","Name":"QT500"},{"Id":"62b40b167c3f000042001961","Name":"Q235"},{"Id":"62b40b167c3f000042001962","Name":"17Cr2Ni2Mo"},{"Id":"62b40b167c3f000042001963","Name":"17CrNiMo6"},{"Id":"62b40b167c3f000042001964","Name":"18CrNiMo7-6"},{"Id":"62b40b167c3f000042001965","Name":"20CrMnMo"},{"Id":"62b40b167c3f000042001966","Name":"20CrMnTi"},{"Id":"62b40b167c3f000042001967","Name":"20CrMnTiH"},{"Id":"62b40b167c3f000042001968","Name":"20CrNi2Mo"},{"Id":"62b40b167c3f000042001969","Name":"20CrNi2MoA"},{"Id":"62b40b167c3f00004200196a","Name":"35CrMo"},{"Id":"62b40b167c3f00004200196b","Name":"38CrMoAl"},{"Id":"62b40b167c3f00004200196c","Name":"38CrMoAlA"},{"Id":"62b40b167c3f00004200196d","Name":"40Cr"},{"Id":"62b40b167c3f00004200196e","Name":"40CrNiMoA"},{"Id":"62b40b167c3f00004200196f","Name":"42CrMo"},{"Id":"62b40b167c3f000042001970","Name":"42CrMoA"},{"Id":"62b40b167c3f000042001971","Name":"45#"},{"Id":"62b40b167c3f000042001972","Name":"GCR15"},{"Id":"62b40b167c3f000042001973","Name":"Q235A"},{"Id":"62b40b167c3f000042001974","Name":"A3"},{"Id":"62d22174f126d4e10cf1b8cd","Name":"test123"}]}
2022-07-21T09:18:22.159+0800	INFO	APIResponse/response.go:41	GetAllProcess success	{"调用 Service": "GetAllProcess success 处理请求", "处理返回值": [{"Id":"62b4006c89e6e79edf417f4b","Name":"粗车+带油泵孔"},{"Id":"62b4007889e6e79edf417f4c","Name":"粗车"},{"Id":"62b4007e89e6e79edf417f4d","Name":"精车"},{"Id":"62b40af27c3f000042001953","Name":"粗车、车减轻槽、钻吊装孔"},{"Id":"62b40af27c3f000042001954","Name":"磨齿"},{"Id":"62c3ee52250a544b2aad1871","Name":"无"},{"Id":"62d4c42a140532b56683528c","Name":"ttttt1111"}]}
2022-07-21T09:18:26.919+0800	INFO	Service/service.go:907	CalMultiConditionSearch	{"调用 Service": "CalMultiConditionSearch 处理请求"}
2022-07-21T09:18:26.930+0800	INFO	APIResponse/response.go:41	CalMultiConditionSearch success	{"调用 Service": "CalMultiConditionSearch success 处理请求", "处理返回值": {"data":[{"Id":"62ba9ddd7c3f0000420af676","MaterialCode":"1100243874111111","MaterialType":"铸件类","MaterialName":"输入法兰毛坯","Specifications":"BOD2-02-Y100-112-N2-M11111P","Craft":"湿砂手工造型(覆膜砂砂芯)","Texture":"HT200","Process":"粗车","PurchaseStatus":"毛坯+粗车","CalStage":"","CalNum":0,"CalTime":"","BpmTaskId":0,"CreateTime":"","Validate":"false"},{"Id":"62ba9ded7c3f0000420af677","MaterialCode":"1100243874111111","MaterialType":"铸件类","MaterialName":"输入法兰毛坯","Specifications":"BOD2-02-Y100-112-N2-M11111P","Craft":"湿砂手工造型(覆膜砂砂芯)","Texture":"HT200","Process":"粗车","PurchaseStatus":"毛坯+粗车","CalStage":"","CalNum":0,"CalTime":"","BpmTaskId":0,"CreateTime":"","Validate":"true"},{"Id":"62c8ee013f0fe71742b14463","MaterialCode":"1100243874","MaterialType":"铸件类","MaterialName":"输入法兰毛坯","Specifications":"BOD2-02-Y100-112-N2-MP","Craft":"湿砂手工造型(覆膜砂砂芯)","Texture":"HT200","Process":"粗车","PurchaseStatus":"毛坯+粗车","CalStage":"","CalNum":0,"CalTime":"","BpmTaskId":211,"CreateTime":"2022-03-12","Validate":"true"},{"Id":"62d7bda19e3896897d591c8f","MaterialCode":"1100177919","MaterialType":"","MaterialName":"减速机","Specifications":"ZLYJ200CH-18-23M1-BL","Craft":"消失模","Texture":"HT200","Process":"磨齿","PurchaseStatus":"毛坯","CalStage":"","CalNum":0,"CalTime":"","BpmTaskId":794702,"CreateTime":"2022-07-20T00:00:00","Validate":"true"}],"total":4}}
2022-07-21T09:20:33.054+0800	INFO	APIResponse/response.go:41	用户权限列表	{"调用 Service": "用户权限列表 处理请求", "处理返回值": {"weight":["/weight/process GET","/weight/acs POST","/weight/craft GET","/weight/texture GET","/weight/craft/* DELETE","/weight/craft POST","/weight/texture POST","/weight/* POST","/weight/craft/* PUT","/weight/process POST","/weight/process/* PUT","/weight/process/* DELETE","/weight/texture/* DELETE","/weight/texture/* PUT"]}}
2022-07-21T09:20:33.254+0800	INFO	Service/service.go:86	GetAllCraft	{"调用 Service": "GetAllCraft 处理请求"}
2022-07-21T09:20:33.255+0800	INFO	middleware/loggerMidd.go:30	/weight/purchase_status	{"statusxixixixi": 403, "method": "GET", "path": "/weight/purchase_status", "query": "", "ip": "10.10.181.60", "user-agent": "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36", "errors": "", "cost": "1.890875ms"}
2022-07-21T09:20:33.255+0800	INFO	Service/service.go:258	GetAllProcess	{"调用 Service": "GetAllProcess 处理请求"}
2022-07-21T09:20:33.256+0800	INFO	Service/service.go:431	GetAllTexture	{"调用 Service": "GetAllTexture 处理请求"}
2022-07-21T09:20:33.291+0800	INFO	APIResponse/response.go:41	GetAllProcess success	{"调用 Service": "GetAllProcess success 处理请求", "处理返回值": [{"Id":"62b4006c89e6e79edf417f4b","Name":"粗车+带油泵孔"},{"Id":"62b4007889e6e79edf417f4c","Name":"粗车"},{"Id":"62b4007e89e6e79edf417f4d","Name":"精车"},{"Id":"62b40af27c3f000042001953","Name":"粗车、车减轻槽、钻吊装孔"},{"Id":"62b40af27c3f000042001954","Name":"磨齿"},{"Id":"62c3ee52250a544b2aad1871","Name":"无"},{"Id":"62d4c42a140532b56683528c","Name":"ttttt1111"}]}
2022-07-21T09:20:33.291+0800	INFO	APIResponse/response.go:41	GetAllTexture success	{"调用 Service": "GetAllTexture success 处理请求", "处理返回值": [{"Id":"62b40b167c3f000042001958","Name":"HT200"},{"Id":"62b40b167c3f000042001959","Name":"HT250"},{"Id":"62b40b167c3f00004200195a","Name":"HT400"},{"Id":"62b40b167c3f00004200195b","Name":"HT450"},{"Id":"62b40b167c3f00004200195c","Name":"HT500"},{"Id":"62b40b167c3f00004200195d","Name":"HT550"},{"Id":"62b40b167c3f00004200195e","Name":"QT400"},{"Id":"62b40b167c3f00004200195f","Name":"QT450"},{"Id":"62b40b167c3f000042001960","Name":"QT500"},{"Id":"62b40b167c3f000042001961","Name":"Q235"},{"Id":"62b40b167c3f000042001962","Name":"17Cr2Ni2Mo"},{"Id":"62b40b167c3f000042001963","Name":"17CrNiMo6"},{"Id":"62b40b167c3f000042001964","Name":"18CrNiMo7-6"},{"Id":"62b40b167c3f000042001965","Name":"20CrMnMo"},{"Id":"62b40b167c3f000042001966","Name":"20CrMnTi"},{"Id":"62b40b167c3f000042001967","Name":"20CrMnTiH"},{"Id":"62b40b167c3f000042001968","Name":"20CrNi2Mo"},{"Id":"62b40b167c3f000042001969","Name":"20CrNi2MoA"},{"Id":"62b40b167c3f00004200196a","Name":"35CrMo"},{"Id":"62b40b167c3f00004200196b","Name":"38CrMoAl"},{"Id":"62b40b167c3f00004200196c","Name":"38CrMoAlA"},{"Id":"62b40b167c3f00004200196d","Name":"40Cr"},{"Id":"62b40b167c3f00004200196e","Name":"40CrNiMoA"},{"Id":"62b40b167c3f00004200196f","Name":"42CrMo"},{"Id":"62b40b167c3f000042001970","Name":"42CrMoA"},{"Id":"62b40b167c3f000042001971","Name":"45#"},{"Id":"62b40b167c3f000042001972","Name":"GCR15"},{"Id":"62b40b167c3f000042001973","Name":"Q235A"},{"Id":"62b40b167c3f000042001974","Name":"A3"},{"Id":"62d22174f126d4e10cf1b8cd","Name":"test123"}]}
2022-07-21T09:20:33.291+0800	INFO	APIResponse/response.go:41	GetAllCraft success	{"调用 Service": "GetAllCraft success 处理请求", "处理返回值": [{"Id":"62b12dea3b72b55e4deb49c4","Name":"V法"},{"Id":"62b162f5d2350d3e494281b6","Name":"覆膜砂"},{"Id":"62b279a86d38630a961e617a","Name":"湿砂机械造型"},{"Id":"62b3b94600406d191e8369ec","Name":"湿砂机械造型（覆膜砂砂芯）"},{"Id":"62b3b95b00406d191e8369ed","Name":"湿砂手工造型"},{"Id":"62b3b99b00406d191e8369ee","Name":"湿砂手工造型(覆膜砂砂芯)"},{"Id":"62b3bba66a1d4731c9677523","Name":"湿砂手工造型（树脂泥芯）"},{"Id":"62b3bbae6a1d4731c9677524","Name":"树脂砂"},{"Id":"62b3bd1d6a1d4731c9677527","Name":"消失模"},{"Id":"62c3edba250a544b2aad186d","Name":"无"}]}
2022-07-21T09:20:36.071+0800	INFO	Service/service.go:907	CalMultiConditionSearch	{"调用 Service": "CalMultiConditionSearch 处理请求"}
2022-07-21T09:20:36.087+0800	INFO	APIResponse/response.go:41	CalMultiConditionSearch success	{"调用 Service": "CalMultiConditionSearch success 处理请求", "处理返回值": {"data":[{"Id":"62ba9ddd7c3f0000420af676","MaterialCode":"1100243874111111","MaterialType":"铸件类","MaterialName":"输入法兰毛坯","Specifications":"BOD2-02-Y100-112-N2-M11111P","Craft":"湿砂手工造型(覆膜砂砂芯)","Texture":"HT200","Process":"粗车","PurchaseStatus":"毛坯+粗车","CalStage":"","CalNum":0,"CalTime":"","BpmTaskId":0,"CreateTime":"","Validate":"false"},{"Id":"62ba9ded7c3f0000420af677","MaterialCode":"1100243874111111","MaterialType":"铸件类","MaterialName":"输入法兰毛坯","Specifications":"BOD2-02-Y100-112-N2-M11111P","Craft":"湿砂手工造型(覆膜砂砂芯)","Texture":"HT200","Process":"粗车","PurchaseStatus":"毛坯+粗车","CalStage":"","CalNum":0,"CalTime":"","BpmTaskId":0,"CreateTime":"","Validate":"true"},{"Id":"62c8ee013f0fe71742b14463","MaterialCode":"1100243874","MaterialType":"铸件类","MaterialName":"输入法兰毛坯","Specifications":"BOD2-02-Y100-112-N2-MP","Craft":"湿砂手工造型(覆膜砂砂芯)","Texture":"HT200","Process":"粗车","PurchaseStatus":"毛坯+粗车","CalStage":"","CalNum":0,"CalTime":"","BpmTaskId":211,"CreateTime":"2022-03-12","Validate":"true"},{"Id":"62d7bda19e3896897d591c8f","MaterialCode":"1100177919","MaterialType":"","MaterialName":"减速机","Specifications":"ZLYJ200CH-18-23M1-BL","Craft":"消失模","Texture":"HT200","Process":"磨齿","PurchaseStatus":"毛坯","CalStage":"","CalNum":0,"CalTime":"","BpmTaskId":794702,"CreateTime":"2022-07-20T00:00:00","Validate":"true"}],"total":4}}
2022-07-21T09:21:21.980+0800	INFO	APIResponse/response.go:41	用户权限列表	{"调用 Service": "用户权限列表 处理请求", "处理返回值": {"weight":["/weight/process GET","/weight/acs POST","/weight/craft GET","/weight/texture GET","/weight/craft/* DELETE","/weight/craft POST","/weight/texture POST","/weight/* POST","/weight/craft/* PUT","/weight/process POST","/weight/process/* PUT","/weight/process/* DELETE","/weight/texture/* DELETE","/weight/texture/* PUT"]}}
2022-07-21T09:21:22.168+0800	INFO	Service/service.go:258	GetAllProcess	{"调用 Service": "GetAllProcess 处理请求"}
2022-07-21T09:21:22.169+0800	INFO	Service/service.go:86	GetAllCraft	{"调用 Service": "GetAllCraft 处理请求"}
2022-07-21T09:21:22.170+0800	INFO	Service/service.go:431	GetAllTexture	{"调用 Service": "GetAllTexture 处理请求"}
2022-07-21T09:21:22.170+0800	INFO	middleware/loggerMidd.go:30	/weight/purchase_status	{"statusxixixixi": 403, "method": "GET", "path": "/weight/purchase_status", "query": "", "ip": "10.10.181.60", "user-agent": "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36", "errors": "", "cost": "2.555459ms"}
2022-07-21T09:21:22.184+0800	INFO	APIResponse/response.go:41	GetAllProcess success	{"调用 Service": "GetAllProcess success 处理请求", "处理返回值": [{"Id":"62b4006c89e6e79edf417f4b","Name":"粗车+带油泵孔"},{"Id":"62b4007889e6e79edf417f4c","Name":"粗车"},{"Id":"62b4007e89e6e79edf417f4d","Name":"精车"},{"Id":"62b40af27c3f000042001953","Name":"粗车、车减轻槽、钻吊装孔"},{"Id":"62b40af27c3f000042001954","Name":"磨齿"},{"Id":"62c3ee52250a544b2aad1871","Name":"无"},{"Id":"62d4c42a140532b56683528c","Name":"ttttt1111"}]}
2022-07-21T09:21:22.185+0800	INFO	APIResponse/response.go:41	GetAllCraft success	{"调用 Service": "GetAllCraft success 处理请求", "处理返回值": [{"Id":"62b12dea3b72b55e4deb49c4","Name":"V法"},{"Id":"62b162f5d2350d3e494281b6","Name":"覆膜砂"},{"Id":"62b279a86d38630a961e617a","Name":"湿砂机械造型"},{"Id":"62b3b94600406d191e8369ec","Name":"湿砂机械造型（覆膜砂砂芯）"},{"Id":"62b3b95b00406d191e8369ed","Name":"湿砂手工造型"},{"Id":"62b3b99b00406d191e8369ee","Name":"湿砂手工造型(覆膜砂砂芯)"},{"Id":"62b3bba66a1d4731c9677523","Name":"湿砂手工造型（树脂泥芯）"},{"Id":"62b3bbae6a1d4731c9677524","Name":"树脂砂"},{"Id":"62b3bd1d6a1d4731c9677527","Name":"消失模"},{"Id":"62c3edba250a544b2aad186d","Name":"无"}]}
2022-07-21T09:21:22.185+0800	INFO	APIResponse/response.go:41	GetAllTexture success	{"调用 Service": "GetAllTexture success 处理请求", "处理返回值": [{"Id":"62b40b167c3f000042001958","Name":"HT200"},{"Id":"62b40b167c3f000042001959","Name":"HT250"},{"Id":"62b40b167c3f00004200195a","Name":"HT400"},{"Id":"62b40b167c3f00004200195b","Name":"HT450"},{"Id":"62b40b167c3f00004200195c","Name":"HT500"},{"Id":"62b40b167c3f00004200195d","Name":"HT550"},{"Id":"62b40b167c3f00004200195e","Name":"QT400"},{"Id":"62b40b167c3f00004200195f","Name":"QT450"},{"Id":"62b40b167c3f000042001960","Name":"QT500"},{"Id":"62b40b167c3f000042001961","Name":"Q235"},{"Id":"62b40b167c3f000042001962","Name":"17Cr2Ni2Mo"},{"Id":"62b40b167c3f000042001963","Name":"17CrNiMo6"},{"Id":"62b40b167c3f000042001964","Name":"18CrNiMo7-6"},{"Id":"62b40b167c3f000042001965","Name":"20CrMnMo"},{"Id":"62b40b167c3f000042001966","Name":"20CrMnTi"},{"Id":"62b40b167c3f000042001967","Name":"20CrMnTiH"},{"Id":"62b40b167c3f000042001968","Name":"20CrNi2Mo"},{"Id":"62b40b167c3f000042001969","Name":"20CrNi2MoA"},{"Id":"62b40b167c3f00004200196a","Name":"35CrMo"},{"Id":"62b40b167c3f00004200196b","Name":"38CrMoAl"},{"Id":"62b40b167c3f00004200196c","Name":"38CrMoAlA"},{"Id":"62b40b167c3f00004200196d","Name":"40Cr"},{"Id":"62b40b167c3f00004200196e","Name":"40CrNiMoA"},{"Id":"62b40b167c3f00004200196f","Name":"42CrMo"},{"Id":"62b40b167c3f000042001970","Name":"42CrMoA"},{"Id":"62b40b167c3f000042001971","Name":"45#"},{"Id":"62b40b167c3f000042001972","Name":"GCR15"},{"Id":"62b40b167c3f000042001973","Name":"Q235A"},{"Id":"62b40b167c3f000042001974","Name":"A3"},{"Id":"62d22174f126d4e10cf1b8cd","Name":"test123"}]}
2022-07-21T09:21:25.299+0800	INFO	Service/service.go:907	CalMultiConditionSearch	{"调用 Service": "CalMultiConditionSearch 处理请求"}
2022-07-21T09:21:25.313+0800	INFO	APIResponse/response.go:41	CalMultiConditionSearch success	{"调用 Service": "CalMultiConditionSearch success 处理请求", "处理返回值": {"data":[{"Id":"62ba9ddd7c3f0000420af676","MaterialCode":"1100243874111111","MaterialType":"铸件类","MaterialName":"输入法兰毛坯","Specifications":"BOD2-02-Y100-112-N2-M11111P","Craft":"湿砂手工造型(覆膜砂砂芯)","Texture":"HT200","Process":"粗车","PurchaseStatus":"毛坯+粗车","CalStage":"","CalNum":0,"CalTime":"","BpmTaskId":0,"CreateTime":"","Validate":"false"},{"Id":"62ba9ded7c3f0000420af677","MaterialCode":"1100243874111111","MaterialType":"铸件类","MaterialName":"输入法兰毛坯","Specifications":"BOD2-02-Y100-112-N2-M11111P","Craft":"湿砂手工造型(覆膜砂砂芯)","Texture":"HT200","Process":"粗车","PurchaseStatus":"毛坯+粗车","CalStage":"","CalNum":0,"CalTime":"","BpmTaskId":0,"CreateTime":"","Validate":"true"},{"Id":"62c8ee013f0fe71742b14463","MaterialCode":"1100243874","MaterialType":"铸件类","MaterialName":"输入法兰毛坯","Specifications":"BOD2-02-Y100-112-N2-MP","Craft":"湿砂手工造型(覆膜砂砂芯)","Texture":"HT200","Process":"粗车","PurchaseStatus":"毛坯+粗车","CalStage":"","CalNum":0,"CalTime":"","BpmTaskId":211,"CreateTime":"2022-03-12","Validate":"true"},{"Id":"62d7bda19e3896897d591c8f","MaterialCode":"1100177919","MaterialType":"","MaterialName":"减速机","Specifications":"ZLYJ200CH-18-23M1-BL","Craft":"消失模","Texture":"HT200","Process":"磨齿","PurchaseStatus":"毛坯","CalStage":"","CalNum":0,"CalTime":"","BpmTaskId":794702,"CreateTime":"2022-07-20T00:00:00","Validate":"true"}],"total":4}}
2022-07-21T09:21:36.818+0800	INFO	Service/service.go:907	CalMultiConditionSearch	{"调用 Service": "CalMultiConditionSearch 处理请求"}
2022-07-21T09:21:36.833+0800	INFO	APIResponse/response.go:41	CalMultiConditionSearch success	{"调用 Service": "CalMultiConditionSearch success 处理请求", "处理返回值": {"data":[{"Id":"62ba9ddd7c3f0000420af676","MaterialCode":"1100243874111111","MaterialType":"铸件类","MaterialName":"输入法兰毛坯","Specifications":"BOD2-02-Y100-112-N2-M11111P","Craft":"湿砂手工造型(覆膜砂砂芯)","Texture":"HT200","Process":"粗车","PurchaseStatus":"毛坯+粗车","CalStage":"","CalNum":0,"CalTime":"","BpmTaskId":0,"CreateTime":"","Validate":"false"},{"Id":"62ba9ded7c3f0000420af677","MaterialCode":"1100243874111111","MaterialType":"铸件类","MaterialName":"输入法兰毛坯","Specifications":"BOD2-02-Y100-112-N2-M11111P","Craft":"湿砂手工造型(覆膜砂砂芯)","Texture":"HT200","Process":"粗车","PurchaseStatus":"毛坯+粗车","CalStage":"","CalNum":0,"CalTime":"","BpmTaskId":0,"CreateTime":"","Validate":"true"},{"Id":"62c8ee013f0fe71742b14463","MaterialCode":"1100243874","MaterialType":"铸件类","MaterialName":"输入法兰毛坯","Specifications":"BOD2-02-Y100-112-N2-MP","Craft":"湿砂手工造型(覆膜砂砂芯)","Texture":"HT200","Process":"粗车","PurchaseStatus":"毛坯+粗车","CalStage":"","CalNum":0,"CalTime":"","BpmTaskId":211,"CreateTime":"2022-03-12","Validate":"true"},{"Id":"62d7bda19e3896897d591c8f","MaterialCode":"1100177919","MaterialType":"","MaterialName":"减速机","Specifications":"ZLYJ200CH-18-23M1-BL","Craft":"消失模","Texture":"HT200","Process":"磨齿","PurchaseStatus":"毛坯","CalStage":"","CalNum":0,"CalTime":"","BpmTaskId":794702,"CreateTime":"2022-07-20T00:00:00","Validate":"true"}],"total":4}}
2022-07-21T09:22:00.699+0800	INFO	Service/service.go:86	GetAllCraft	{"调用 Service": "GetAllCraft 处理请求"}
2022-07-21T09:22:00.727+0800	INFO	APIResponse/response.go:41	GetAllCraft success	{"调用 Service": "GetAllCraft success 处理请求", "处理返回值": [{"Id":"62b12dea3b72b55e4deb49c4","Name":"V法"},{"Id":"62b162f5d2350d3e494281b6","Name":"覆膜砂"},{"Id":"62b279a86d38630a961e617a","Name":"湿砂机械造型"},{"Id":"62b3b94600406d191e8369ec","Name":"湿砂机械造型（覆膜砂砂芯）"},{"Id":"62b3b95b00406d191e8369ed","Name":"湿砂手工造型"},{"Id":"62b3b99b00406d191e8369ee","Name":"湿砂手工造型(覆膜砂砂芯)"},{"Id":"62b3bba66a1d4731c9677523","Name":"湿砂手工造型（树脂泥芯）"},{"Id":"62b3bbae6a1d4731c9677524","Name":"树脂砂"},{"Id":"62b3bd1d6a1d4731c9677527","Name":"消失模"},{"Id":"62c3edba250a544b2aad186d","Name":"无"}]}
2022-07-21T09:22:01.007+0800	INFO	Service/service.go:258	GetAllProcess	{"调用 Service": "GetAllProcess 处理请求"}
2022-07-21T09:22:01.007+0800	INFO	Service/service.go:431	GetAllTexture	{"调用 Service": "GetAllTexture 处理请求"}
2022-07-21T09:22:01.008+0800	INFO	middleware/loggerMidd.go:30	/weight/purchase_status	{"statusxixixixi": 403, "method": "GET", "path": "/weight/purchase_status", "query": "", "ip": "10.10.181.60", "user-agent": "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36", "errors": "", "cost": "3.75675ms"}
2022-07-21T09:22:01.051+0800	INFO	APIResponse/response.go:41	GetAllProcess success	{"调用 Service": "GetAllProcess success 处理请求", "处理返回值": [{"Id":"62b4006c89e6e79edf417f4b","Name":"粗车+带油泵孔"},{"Id":"62b4007889e6e79edf417f4c","Name":"粗车"},{"Id":"62b4007e89e6e79edf417f4d","Name":"精车"},{"Id":"62b40af27c3f000042001953","Name":"粗车、车减轻槽、钻吊装孔"},{"Id":"62b40af27c3f000042001954","Name":"磨齿"},{"Id":"62c3ee52250a544b2aad1871","Name":"无"},{"Id":"62d4c42a140532b56683528c","Name":"ttttt1111"}]}
